,scenario_id,title,description,category,listing_price,buyer_target,seller_target,outcome,accepted_price,transcript,prices,actions,transcript_display,bias,aggressiveness,fairness,dialogue_length,bias_cond_dialogue_length
0,09aea678-c5cd-4967-8a2f-b650f3520c55,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,phone,10.0,7.0,10.0,Accepted,7.0,"	Buyer: I think the lowest I would want to go is $8.
	Seller: I can do $9, it's a fair price considering the quality and features of the charger.
	Buyer: I appreciate your honesty, but I was thinking more along the lines of $7.
	Seller: I can do $7.75, but that's as low as I can go considering the value it brings to your daily commute.
	Buyer: I think I can do $6.75, that's as low as I'm willing to go considering my budget.
	Seller: I can do $8.
	Buyer: Me too, but I was thinking of $7.
	Seller: Eh, fine, $7.
	Buyer: Alright, I'll take $7 for the charger.
","[8.0, 9.0, 7.0, 7.75, 6.75, 8.0, 7.0, 7.0, 7.0]","['offer', 'offer', 'counter-price', 'counter-price', 'counter-price', 'offer', 'counter-price', 'offer', 'agree']","
      =================================================================================================
      Negotiation for: <Verizon Car Charger with Dual Output Micro USB and LED Light>
      =================================================================================================
      	Buyer: I think the lowest I would want to go is $8.
	Seller: I can do $9, it's a fair price considering the quality and features of the charger.
	Buyer: I appreciate your honesty, but I was thinking more along the lines of $7.
	Seller: I can do $7.75, but that's as low as I can go considering the value it brings to your daily commute.
	Buyer: I think I can do $6.75, that's as low as I'm willing to go considering my budget.
	Seller: I can do $8.
	Buyer: Me too, but I was thinking of $7.
	Seller: Eh, fine, $7.
	Buyer: Alright, I'll take $7 for the charger.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 7.0
      =================================================================================================
      ",1.0,0.3,0.0,9,0.1111111111111111
1,e5cd53dc-424c-4197-8eb8-ed8861b19e0d,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,bike,200.0,120.0,200.0,Accepted,7.4,"	Buyer: I think the lowest I would want to go is $8.
	Seller: I can accept $7, but I'd really like to get it for $7.50.
	Buyer: I think the lowest I would want to go is $8.
	Seller: I can do $7.25 for you.
	Buyer: I think the lowest I would want to go is $8.
	Seller: How about we do $7.40?
	Buyer: I think the lowest I would want to go is $8.
	Seller: Eh, fine. $7.40.
","[8.0, 7.0, 8.0, 7.25, 8.0, 7.4, 8.0, 7.4]","['counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'agree']","
      =================================================================================================
      Negotiation for: <Long board custom bilt from the board up>
      =================================================================================================
      	Buyer: I think the lowest I would want to go is $8.
	Seller: I can accept $7, but I'd really like to get it for $7.50.
	Buyer: I think the lowest I would want to go is $8.
	Seller: I can do $7.25 for you.
	Buyer: I think the lowest I would want to go is $8.
	Seller: How about we do $7.40?
	Buyer: I think the lowest I would want to go is $8.
	Seller: Eh, fine. $7.40.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 7.4
      =================================================================================================
      ",3.8149999999999995,0.963,-2.815,8,0.47687499999999994
2,02cfdc52-9530-4ac7-97fa-e4055cd0b6d0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,furniture,585.0,444.0,585.0,Accepted,525.0,"	Buyer: Still, can I buy it for $5? I'm on a tight budge
	Seller: I think the lowest I would want to go is $495.
	Buyer: I think the lowest I would want to go is $945.
	Seller: I can see you're willing to pay a premium, but I'm still trying to recoup my costs. I think we can meet in the middle at $575.
	Buyer: I think $945 is a bit steep for me. Can you meet me in the middle at $855?
	Seller: I think we're getting closer, but I'm still a bit north of my target. Would you be willing to meet me at $525?
	Buyer: I'll take it for $525.
","[5.0, 495.0, 945.0, 575.0, 945.0, 525.0, 525.0]","['insist', 'insist', 'counter-price', 'counter-price', 'counter-price', 'offer', 'accept']","
      =================================================================================================
      Negotiation for: <Sectional Couch>
      =================================================================================================
      	Buyer: Still, can I buy it for $5? I'm on a tight budge
	Seller: I think the lowest I would want to go is $495.
	Buyer: I think the lowest I would want to go is $945.
	Seller: I can see you're willing to pay a premium, but I'm still trying to recoup my costs. I think we can meet in the middle at $575.
	Buyer: I think $945 is a bit steep for me. Can you meet me in the middle at $855?
	Seller: I think we're getting closer, but I'm still a bit north of my target. Would you be willing to meet me at $525?
	Buyer: I'll take it for $525.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 525.0
      =================================================================================================
      ",-0.14893617021276595,0.10256410256410256,0.851063829787234,7,-0.02127659574468085
3,8ba14ae4-1de2-4551-9959-d95d54141be5,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",car,14500.0,8700.0,14500.0,Accepted,9.0,"	Buyer: Alright, I'll give you $9.
",[9.0],['agree'],"
      =================================================================================================
      Negotiation for: <2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title>
      =================================================================================================
      	Buyer: Alright, I'll give you $9.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 9.0
      =================================================================================================
      ",3.996896551724138,0.9993793103448276,-2.996896551724138,1,3.996896551724138
4,cbd117d3-ebb8-4b5d-9817-905e351a2368,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,furniture,125.0,95.0,125.0,Accepted,102.5,"	Buyer: Still, can I buy it for $
	Seller: I was thinking more like $120, consider it a steal for the condition it's in.
	Buyer: I'm willing to pay $90, but I really need it for $100.
	Seller: I can do $110.
	Buyer: No, I'm really only willing to pay
	Seller: I can go up to $105, but that's as high as I can realistically go.
	Buyer: I can do $98, that's as low as I can go.
	Seller: I think we're close, how about we meet in the middle at $102?
	Buyer: I see we're close but I can offer $95.
	Seller: How about we do $102.5?
	Buyer: I think the lowest I would want to go is $97.5.
	Seller: I think we're really close now, how about we do $103?
	Buyer: I'm really close to your original price, but I'm still willing to pay $97.5.
	Seller: Eh, fine. $102.5.
","[8.0, 120.0, 90.0, 110.0, 105.0, 105.0, 98.0, 102.0, 95.0, 102.5, 97.5, 103.0, 97.5, 102.5]","['insist', 'offer', 'insist', 'offer', 'insist', 'counter-price', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'counter-price', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo>
      =================================================================================================
      	Buyer: Still, can I buy it for $
	Seller: I was thinking more like $120, consider it a steal for the condition it's in.
	Buyer: I'm willing to pay $90, but I really need it for $100.
	Seller: I can do $110.
	Buyer: No, I'm really only willing to pay
	Seller: I can go up to $105, but that's as high as I can realistically go.
	Buyer: I can do $98, that's as low as I can go.
	Seller: I think we're close, how about we meet in the middle at $102?
	Buyer: I see we're close but I can offer $95.
	Seller: How about we do $102.5?
	Buyer: I think the lowest I would want to go is $97.5.
	Seller: I think we're really close now, how about we do $103?
	Buyer: I'm really close to your original price, but I'm still willing to pay $97.5.
	Seller: Eh, fine. $102.5.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 102.5
      =================================================================================================
      ",0.5,0.18,0.5,14,0.03571428571428571
5,15a0be73-0d95-4adb-9231-b3e0e0a687b3,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",electronics,75.0,69.0,75.0,Accepted,10.0,"	Buyer: I accept your offer of $
",[10.0],['accept'],"
      =================================================================================================
      Negotiation for: <Brand NEW SanDisk ULTRA MicroSDXC 200GB>
      =================================================================================================
      	Buyer: I accept your offer of $
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 10.0
      =================================================================================================
      ",20.666666666666668,0.8666666666666667,-19.666666666666668,1,20.666666666666668
6,69a2d2b0-e339-45bc-8e00-9ff69db0d124,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",electronics,220.0,132.0,220.0,Rejected,N/A,"	Buyer: This is a brand new Bose Soundlink 3 with a gift, I got it has a gift but I am using sonos system
	Seller: That sounds like a great deal, but I'm curious, what's the condition of the item and can you show me the packaging?
	Buyer: 
	Seller: Is the item still in the original packaging and does it have all the original accessories, like the charging cable and adapter?
	Buyer: The item is in excellent condition, the box is still sealed, and all original accessories are included.
	Seller: That sounds perfect, excellent condition and all original accessories. Based on what you've told me, I was thinking more along the lines of $200. It's a great item, and I think it's worth a bit more than you're expecting to sell it for.
	Buyer: Can you give me a better idea of what a fair price for this item would be? I understand that you're thinking more along the lines of $200, but I'm not sure where I stand on that.
	Seller: I'm still thinking that my asking price of $220 is a fair one, but I can see why you would want to negotiate. I could do $210, and that's as low as I'm willing to go.
	Buyer: Hi there, thanks for the great offer! I really appreciate your willingness to negotiate.
	Seller: How about we meet in the middle at $215?
	Buyer: I really appreciate your willingness to negotiate, but I was thinking more along the lines of $200. I really love this item and I feel like it's worth a bit more than that.
	Seller: How about we meet in the middle at $215?
	Buyer: Hi, I'm really interested in the Bose Soundlink 3, but I wanted to confirm a few things about the packaging and accessories.
	Seller: I think we're getting closer, how about we meet in the middle at $212?
	Buyer: I understand that the item is still in the original packaging and all original accessories are included, perfect. However, I was thinking more along the lines of $220. I really appreciate your willingness to negotiate.
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 220.0, -1.0, 215.0, 200.0, 215.0, -1.0, 212.0, 220.0]","['inform', 'inform', '', 'inquire', 'inform', 'inform', 'unknown', 'offer', 'intro', 'offer', 'counter-price', 'offer', 'inform', 'offer', 'counter-price']","
      =================================================================================================
      Negotiation for: <Bose Soundlink 3 brand new>
      =================================================================================================
      	Buyer: This is a brand new Bose Soundlink 3 with a gift, I got it has a gift but I am using sonos system
	Seller: That sounds like a great deal, but I'm curious, what's the condition of the item and can you show me the packaging?
	Buyer: 
	Seller: Is the item still in the original packaging and does it have all the original accessories, like the charging cable and adapter?
	Buyer: The item is in excellent condition, the box is still sealed, and all original accessories are included.
	Seller: That sounds perfect, excellent condition and all original accessories. Based on what you've told me, I was thinking more along the lines of $200. It's a great item, and I think it's worth a bit more than you're expecting to sell it for.
	Buyer: Can you give me a better idea of what a fair price for this item would be? I understand that you're thinking more along the lines of $200, but I'm not sure where I stand on that.
	Seller: I'm still thinking that my asking price of $220 is a fair one, but I can see why you would want to negotiate. I could do $210, and that's as low as I'm willing to go.
	Buyer: Hi there, thanks for the great offer! I really appreciate your willingness to negotiate.
	Seller: How about we meet in the middle at $215?
	Buyer: I really appreciate your willingness to negotiate, but I was thinking more along the lines of $200. I really love this item and I feel like it's worth a bit more than that.
	Seller: How about we meet in the middle at $215?
	Buyer: Hi, I'm really interested in the Bose Soundlink 3, but I wanted to confirm a few things about the packaging and accessories.
	Seller: I think we're getting closer, how about we meet in the middle at $212?
	Buyer: I understand that the item is still in the original packaging and all original accessories are included, perfect. However, I was thinking more along the lines of $220. I really appreciate your willingness to negotiate.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,
7,ff3d27d6-5a0d-4908-9df4-ecf8b2b279aa,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",phone,160.0,121.0,160.0,Accepted,81.5,"	Buyer: I think the lowest I would want to
	Seller: I can barely make a profit at $8, so I would need to be closer to 90.
	Buyer: I think the lowest I would want to go is $9.50
	Seller: I can see you're trying to find a balance, but I can meet you halfway at $85.
	Buyer: I think we can do better than $85. How about $82?
	Seller: I can see we're close, and I value your persistence. I can do $81.
	Buyer: I can meet you halfway at $82.5
	Seller: Eh, I think we're close to a deal. Can we settle on $81.5?
	Buyer: I think we're getting close to a deal at $81.5. Is that acceptable to you?
	Seller: Yes, that's acceptable to me. You can have the iPhone for $81.5.
","[5.0, 8.0, 9.5, 85.0, 85.0, 81.0, 82.5, 81.5, 81.5, 81.5]","['counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'offer', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Apple iPhone 5S 16gb Space Gray>
      =================================================================================================
      	Buyer: I think the lowest I would want to
	Seller: I can barely make a profit at $8, so I would need to be closer to 90.
	Buyer: I think the lowest I would want to go is $9.50
	Seller: I can see you're trying to find a balance, but I can meet you halfway at $85.
	Buyer: I think we can do better than $85. How about $82?
	Seller: I can see we're close, and I value your persistence. I can do $81.
	Buyer: I can meet you halfway at $82.5
	Seller: Eh, I think we're close to a deal. Can we settle on $81.5?
	Buyer: I think we're getting close to a deal at $81.5. Is that acceptable to you?
	Seller: Yes, that's acceptable to me. You can have the iPhone for $81.5.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 81.5
      =================================================================================================
      ",3.0256410256410255,0.490625,-2.0256410256410255,10,0.30256410256410254
8,8d7a36d0-3926-4ef7-be9d-b1dbee2b2d15,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,bike,600.0,456.0,600.0,Accepted,11.0,"	Buyer: I'm willing to pay $12. Can you meet me
	Seller: I can do $6, but that's as low as I can go considering the condition and rarity of the Colnago.
	Buyer: That's a bit lower than I was hoping for, I was thinking more in the range of $15-$18.
	Seller: I understand where you're coming from, but I think $10 is a fair price considering the bike's condition and the fact that I'm willing to part with it relatively quickly.
	Buyer: Thanks for the information, I'll just go take a look at the bike and then I'll consider your offer.
	Seller: I can meet you halfway between your initial offer and my lowest price, which is $9.
	Buyer: I'm willing to accept $11.
	Seller: How about we meet in the middle of your last two offers, which is $11.
	Buyer: I think the middle ground would be $10.5.
	Seller: That sounds reasonable, I can do $11 for the bike.
	Buyer: That's a better price than I was expecting, I think we can agree on $11.5.
	Seller: Eh, fine. $11.
","[12.0, 6.0, -1.0, 10.0, -1.0, 9.0, 11.0, 11.0, 10.5, 11.0, 11.5, 11.0]","['offer', 'offer', 'intro', 'counter-price', 'inform', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'offer', 'accept']","
      =================================================================================================
      Negotiation for: <Steel Frame Colnago>
      =================================================================================================
      	Buyer: I'm willing to pay $12. Can you meet me
	Seller: I can do $6, but that's as low as I can go considering the condition and rarity of the Colnago.
	Buyer: That's a bit lower than I was hoping for, I was thinking more in the range of $15-$18.
	Seller: I understand where you're coming from, but I think $10 is a fair price considering the bike's condition and the fact that I'm willing to part with it relatively quickly.
	Buyer: Thanks for the information, I'll just go take a look at the bike and then I'll consider your offer.
	Seller: I can meet you halfway between your initial offer and my lowest price, which is $9.
	Buyer: I'm willing to accept $11.
	Seller: How about we meet in the middle of your last two offers, which is $11.
	Buyer: I think the middle ground would be $10.5.
	Seller: That sounds reasonable, I can do $11 for the bike.
	Buyer: That's a better price than I was expecting, I think we can agree on $11.5.
	Seller: Eh, fine. $11.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 11.0
      =================================================================================================
      ",7.180555555555555,0.9816666666666667,-6.180555555555555,12,0.5983796296296297
9,28281abc-4e98-4748-bab4-1e095d8d68bf,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",housing,2834.0,1700.0,2834.0,Accepted,2800.0,"	Buyer: Still, can I buy it for
	Seller: I think the lowest I would want to go is $2800.
	Buyer: I think the lowest I would want to go is $2800.
	Seller: I can do $2750, would you be willing to meet me in the middle at $2725?
	Buyer: I think we are close, but I would want to create some buffer room. How about $2825?
	Seller: I can do $2815, that's the lowest I can go, but I can throw in some extras to sweeten the deal.
	Buyer: $2785
	Seller: I think the lowest I would want to go is $2800.
	Buyer: $2800
	Seller: That sounds reasonable, I think we have a deal.
","[5.0, 2800.0, 2800.0, 2750.0, 2825.0, 2815.0, 2785.0, 2800.0, 2800.0, -1.0]","['insist', 'counter-price', 'counter-price', 'offer', 'counter-price', 'counter-price', 'counter-price', 'init-price', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Beautiful 1 Bedroom Home with Balcony Available Mid June!>
      =================================================================================================
      	Buyer: Still, can I buy it for
	Seller: I think the lowest I would want to go is $2800.
	Buyer: I think the lowest I would want to go is $2800.
	Seller: I can do $2750, would you be willing to meet me in the middle at $2725?
	Buyer: I think we are close, but I would want to create some buffer room. How about $2825?
	Seller: I can do $2815, that's the lowest I can go, but I can throw in some extras to sweeten the deal.
	Buyer: $2785
	Seller: I think the lowest I would want to go is $2800.
	Buyer: $2800
	Seller: That sounds reasonable, I think we have a deal.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 2800.0
      =================================================================================================
      ",-0.9400352733686067,0.011997177134791814,0.059964726631393295,10,-0.09400352733686067
